category,movie,title,rating,genre,subgenre,theme,keyword,releasedate,country,review
Action,The Towering Inferno,The Towering Inferno (1974),8,Action,Disaster Film,Adrenaline Rush,"fire, skyscraper, disaster, firefighter, fire-disaster, electrical-wiring, security-guard, ceremony, dedication",,USA,"A skyscraper and an all-star cast go up in flames in Irwin Allen's classic disaster movie. To celebrate the construction of the Glass Tower, the world's tallest building, architect Doug Roberts (Paul Newman) and builder James Duncan (William Holden) hold a gala bash on the highest floors. Trouble is, Duncan's son-in-law and electrical subcontractor Roger Simmons (Richard Chamberlain) installed faulty wiring throughout the 138-story behemoth to save money. While the guests --  including Doug's lady friend (Faye Dunaway), a rich widow (Jennifer Jones), a con man (Fred Astaire), and a politico (Robert Vaughn) -- enjoy the party, and a security guard (O.J. Simpson) wonders why his equipment is on the fritz, a burnt-out circuit breaker ignites some garbage on the 85th floor, swiftly turning the high-rise into, well, a towering inferno. With the guests trapped on the 135th floor, it's up to Roberts and Fire Chief O'Hallorhan (Steve McQueen) to find a way to stop the blaze. Though not the first all-star '70s disaster movie (1970's Airport and 1972's The Poseidon Adventure preceded it), The Towering Inferno was the most popular and the most spectacular. In a move that would become more common in late-'90s blockbuster Hollywood, The Towering Inferno's mammoth production was mounted by two studios; screenwriter Stirling Silliphant combined the two novels owned by the studios into one saga. 1970s ""shake 'n bake"" maestro Allen, with co-director John Guillermin (Allen did the action sequences), tapped into deep fears about the fragility of modern life in the face of extreme natural phenomena, as well as into the envies and insecurities of middle-aged professional men. The Towering Inferno packed theaters and earned eight Oscar nominations, including Best Picture; it won for Cinematography, Editing, and Song. While its heroic, no-nonsense men provided some traditional comfort, The Towering Inferno still might provoke second thoughts about going into a skyscraper."
Action,Casino Royale,Casino Royale (2006),8,Action,Glamorized Spy Film,Adrenaline Rush,"secret-agent, casino, poker, terrorism, Bahamas, gambling, mission [quest], parkour",17-Nov-06,"Czech Republic, Germany, UK, USA","Actor Daniel Craig assumes the role formerly occupied by such screen greats as Sean Connery, Roger Moore, and Timothy Dalton to set out on the character's very first 007 mission. James Bond has earned his ""00"" status by masterfully executing a pair of death-defying professional assassinations. Now assigned the task of traveling to Madagascar to spy on notorious terrorist Mollaka (Sebastien Foucan) for his maiden voyage as a 007 agent, Bond boldly goes against MI6 policy to launch an independent investigation that finds him traversing the Bahamas in search of Mollaka's notoriously elusive terror cell. Subsequently led into the company of the mysterious Dimitrios (Simon Abkarian) and his exotic girlfriend, Solange (Caterina Murino), Bond soon realizes that he is closer than ever to locating well-guarded terrorist financier Le Chiffre (Mads Mikkelsen), the man who has personally bankrolled some of the most prevalent terrorist organizations on the planet. When Bond learns that Le Chiffre is planning to partake in an upcoming high-stakes poker game to be played at Montenegro's Le Casino Royale and use the winnings to establish his financial grip on the globe, M (Judi Dench) assigns beguiling agent Vesper (Eva Green) the task of watching over the fledgling agent as he plays against Le Chiffre in a covert attempt to destroy the nefarious gambler's well-established monetary stronghold in the underworld once and for all. Bond will need more than his legendary gambling skills in order to win this dangerous game, though, and after allying himself with local MI6 field agent Mathis (Giancarlo Giannini) and CIA operative Felix Leiter (Jeffrey Wright), the endlessly suave super-spy puts on his poker face for a high-stakes game of cards in which the stakes are not measured in dollars, but human lives."
Action,House of Flying Daggers,House of Flying Daggers (2004),8,Action,Period Film,"In the Mood for Love,Eyepoppers","political-unrest, dynasty, lawman, revolution, dancer, love, rebel, star-crossed-lovers, swordsman, corruption, brothel",3-Dec-04,"China, Hong Kong","Chinese director Zhang Yimou fuses a martial arts action-drama with a tragic romance in this elegant period piece. In the year 859 A.D., as the Tang dynasty is beset by rebellion, Leo (Andy Lau) and Jin (Takeshi Kaneshiro) are a pair of lawmen who have been given the task of ferreting out the leaders of a revolutionary faction known as the Flying Daggers. Working on a tip that members of the group are working out of a brothel called the Peony Pavilion, Jin arrives there in disguise and is introduced to a beautiful blind dancer named Mei (Zhang Ziyi). After watching Mei's performance following several drinks, Jin drunkenly attempts to have his way with her, and Leo is forced to intervene. After gaining Mei's trust in a game of skill, Leo arrests her and informs her that she'll be tortured if she doesn't tell all she knows about the Flying Daggers. Jin responds by helping Mei break out of prison, but he has an ulterior motive -- by following her, Leo and Jin are certain she'll lead them to the Flying Daggers. However, as he helps the blind girl find her way back home, Jin finds himself falling in love with Mei, and isn't certain if he's willing to betray her again."
Action,Das Boot,Das Boot (1981),10,War,Sea Adventure,"Memory Lane,Gutbusters,Nail-biters","submarine, captain [military], German [nationality], commander, sea-battle, war",,"Germany, West Germany","Das Boot is one of the most gripping and authentic war movies ever made. Based on an autobiographical novel by German World War II photographer Lothar-Guenther Buchheim, the film follows the lives of a fearless U-Boat captain (Jurgen Prochnow) and his inexperienced crew as they patrol the Atlantic and Mediterranean in search of Allied vessels, taking turns as hunter and prey. There's very little plot, so the movie's power comes from both its riveting, epic battle scenes and its details of the boring hours spent waiting for orders or signs of the enemy. With the exception of one staunch Hitler Youth lieutenant, none of the crew is particularly loyal to the Nazis, and some are openly hostile toward their Fuhrer; this allows viewer sympathy with the men as they perform their laborious, monotonous duties in cramped, filthy quarters, or await death as depth charges explode all around the sub. Prochnow is excellent as the nerves-of-steel commander, and many of the supporting actors -- all German -- are solid as well, although the characterizations border on war movie clichés (the young crewman who has left behind his pregnant girlfriend, the Chief Engineer whose wife is seriously ill). The real star, however, is cinematographer Jost Vacano, who makes the sub's grimy, claustrophobic interior come to vivid life, as his camera follows the crew through hatches, up ladders, into bunks, and under pipes, creating a palpable sense of claustrophobia while injecting it with movement. Originally edited by writer/director Wolfgang Petersen as both a two-and-a-half hour theatrical release and a six-hour German miniseries, Das Boot was re-released in a restored version in 1997 with nearly one hour of added footage which made it even more suspenseful than before."
Action,The Poseidon Adventure,The Poseidon Adventure (1972),8,Action,Disaster Film,Adrenaline Rush,"cruise, escape, high-seas, minister, oceanliner, passenger, rescue, sea-disaster, survivor, tidal-wave, trapped, underwater, voyage",,USA,"The Poseidon is an ocean liner charting its course on New Year's Eve. Just after midnight, Captain Harrison (Leslie Nielsen) spots the mother of all tidal waves. It is the last thing that Harrison and practically everyone else onboard sees before drowning -- the Poseidon is turned upside down, with only a handful of survivors. The ten lucky ones -- including Mike Rogo (Ernest Borgnine), Linda Rogo (Stella Stevens), Acres (Roddy McDowall), Belle Rosen (Shelley Winters), and Manny Rosen (Jack Albertson) -- led by no-nonsense minister Frank Scott (Gene Hackman), desperately attempt to climb from the top of the ship (now submerged) to the bottom (now ""the top""). The film's theme song, ""The Morning After,"" sung by Maureen McGovern, earned an Oscar. In addition, The Poseidon Adventure received the Special Achievement Award for Special Effects; L.B. Abbott and A.D. Flowers were the recipients. A sequel, Beyond the Poseidon Adventure, came out in 1979."
Action,Mad Max: Fury Road,Mad Max: Fury Road (2015),9,Action,Action Thriller,Adrenaline Rush,"Australia, chase, crash, desert, escape, post-apocalypse",15-May-15,"Australia, USA","In this long-awaited reboot of the landmark series that helped define the postapocalyptic genre, loner Max (Tom Hardy) joins forces with the mysterious Imperator Furiosa (Charlize Theron) and a group of warrior women as they flee from an evil despot across a sun-parched wasteland."
Action,Spider-Man 2,Spider,9,Action,Superhero Film,Adrenaline Rush,"Superhero, mad-scientist, science-runs-amok, tentacles, villain, secret-identity, friendship, revenge",25-Jun-04,USA,"Stan Lee's all-too-human superhero returns to the screen in this highly anticipated sequel to 2002's blockbuster hit Spider-Man. Peter Parker (Tobey Maguire) is attempting to juggle college classes and his job as a photographer with the Daily Bugle while maintaining his secret life as costumed crime-fighter Spider-Man. Parker is also struggling to hold on to his relationship with Mary Jane Watson (Kirsten Dunst), who is beginning to enjoy success as a model and actress, and both Mary Jane and Peter have noticed he's beginning to buckle under the strain. Parker's friendship with Harry Osborn (James Franco) is also beginning to fray due to Peter's seeming alliance with Spider-Man, whom Harry blames for the death of his father, the nefarious Norman Osborn. As Parker weighs his responsibilities to himself and those around him against the obligations that come with his special powers, Spider-Man is faced with a new nemesis -- Dr. Otto Octavius (Alfred Molina), a deranged scientist whose latest project has turned him into the near-invincible cyborg Doctor Octopus. Spider-Man 2 was directed by Sam Raimi, who helmed the first film, and much of the original cast has also reunited for this sequel, including Rosemary Harris, J.K. Simmons, and Bruce Campbell."
Action,Batman Begins,Batman Begins (2005),8,Action,Superhero Film,Adrenaline Rush,"Superhero, crimefighting, mask [disguise], secret-identity, disguise, teacher, bat [animal], gadgets, cave, tank [vehicle]",15-Jun-05,USA,"The origins of the Caped Crusader of Gotham City are finally brought to the big screen in this new adaptation of the perennially popular comic-book series. The young Bruce Wayne (Gus Lewis) leads a privileged life as the son of wealthy, philanthropist parents, both of whom stress their commitment to improving the lives of the citizens of crime-ridden Gotham City. After his mother and father are murdered by a mugger, however, Wayne grows into an impudent young man (Christian Bale), full of rage and bent on retribution until encouraged by his childhood sweetheart, Rachel Dawes (Katie Holmes), to search for answers beyond his own personal vendettas. Wayne eventually finds discipline in the Far East under the tutelage of Henri Ducard (Liam Neeson), a member of the mysterious League of Shadows who guides him in the study of martial arts -- and the ways in which an ordinary man can hone his senses to an almost superhuman acuity. After seven years away from Gotham, Wayne returns, determined to bring peace and safety back to the city. With the help of his faithful manservant, Alfred Pennyworth (Michael Caine), and Lucius Fox (Morgan Freeman), a scientist at his late father's corporation, Wayne develops a secret identity as Batman, a masked fighter for justice. But when a shady psychiatrist (Cillian Murphy) joins forces with the criminal underworld, Wayne realizes that putting an end to their nefarious plans will be very difficult indeed. Batman Begins also features Gary Oldman as Lt. James Gordon and Tom Wilkinson as the crime boss Carmine Falcone."
Action,Iron Man,Iron Man (2008),8,Action,Sci-Fi Action,Adrenaline Rush,"industrialist, philanthropy, robot, billionaire",2-May-08,USA,"From Marvel Studios and Paramount Pictures comes Iron Man, an action-packed take on the tale of wealthy philanthropist Tony Stark (Robert Downey Jr.), who develops an invulnerable robotic suit to fight the throes of evil. In addition to being filthy rich, billionaire industrialist Tony Stark is also a genius inventor. When Stark is kidnapped and forced to build a diabolical weapon, he instead uses his intelligence and ingenuity to construct an indestructible suit of armor and escape his captors. Once free, Stark discovers a deadly conspiracy that could destabilize the entire globe, and dons his powerful new suit on a mission to stop the villains and save the world. Gwyneth Paltrow co-stars as his secretary, Virginia ""Pepper"" Potts, while Terrence Howard fills the role of Jim ""Rhodey"" Rhodes, one of Stark's colleagues, whose military background leads him to help in the formation of the suit. Jon Favreau directs, with Marvel movie veterans Avi Arad and Kevin Feige producing."
Action,Sicario,Sicario (2015),9,Action,Action Thriller,"Nail-biters,Button Pushers,Adrenaline Rush","agent [representative], border [geographic], cartel, corruption, FBI (Federal Bureau of Investigation), Mexican [nationality]",18-Sep-15,USA,"An idealistic FBI agent (Emily Blunt) is assigned to work a dangerous stretch of the US-Mexico border by her superior officer (Josh Brolin). She's exposed to the brutality of the Mexican drug cartel, and becomes partners with a defector from the cartel (Benicio Del Toro) who possesses keen knowledge about the organization. As she gets deeper into the ruthlessness and corruption surrounding the FBI sting to find the organizations leaders, her moral and professional boundaries are pushed to their breaking point. Denis Villeneuve directs this pulse-pounding crime drama, which competed for the Palme d'Or at the 2015 Cannes Film Festival."
Action,Planet of the Apes,Planet of the Apes (1968),10,Science Fiction,Sci-Fi Action,Other Dimensions,"ape, astronaut, stranded, planet, science-runs-amok, space-travel, evolution",8-Feb-68,USA,"Originally intended as a project for Blake Edwards, the film version of Pierre Boule's semisatiric sci-fi novel came to the screen in 1968 under the directorial guidance of Franklin J. Schaffner. Charlton Heston is George Taylor, one of several astronauts on a long space mission whose spaceship crash-lands on a remote planet, seemingly devoid of intelligent life. Soon the astronaut learns that this planet is ruled by a race of talking, thinking, reasoning apes who hold court over a complex, multilayered civilization. In this topsy-turvy society, the human beings are grunting, inarticulate primates, penned-up like animals. When ape leader Dr. Zaius (Maurice Evans) discovers that the captive Taylor has the power of speech, he reacts in horror and insists that the astronaut be killed. But sympathetic ape scientists Cornelius (Roddy McDowell) and Dr. Zira (Kim Hunter) risk their lives to protect Taylor -- and to discover the secret of their planet's history that Dr. Zaius and his minions guard so jealously. In the end, it is Taylor who stumbles on the truth about the Planet of the Apes: ""Damn you! Damn you! Goddamn you all to hell!"" Scripted by Rod Serling and Michael Wilson (a former blacklistee who previously adapted another Pierre Boule novel, Bridge on the River Kwai), Planet of the Apes has gone on to be an all-time sci-fi (and/or camp) classic. It won a special Academy Award for John Chambers's convincing (and, from all accounts, excruciatingly uncomfortable) simian makeup. It spawned four successful sequels, as well as two TV series, one live-action and one animated."
Action,Marvel's The Avengers,Marvel's The Avengers (2012),9,Action,Superhero Film,Adrenaline Rush,"aircraft-carrier, billionaire, soldier, Superhero, team",4-May-12,USA,"Marvel Studios delivers the ultimate comic-book film, which ties together such characters as Iron Man (Robert Downey Jr.), Captain America (Chris Evans), The Hulk (Mark Ruffalo), and Thor (Chris Hemsworth) for a big-screen franchise team-up like no other. Taking center stage this time is Nick Fury (played once again by the note-perfect Samuel L. Jackson), leader of the peacekeeping agency known as S.H.I.E.L.D. Fury, along with former Russian spy Black Widow (Scarlett Johansson), recruits a super team to combat Thor's ever-deceptive brother Loki (Tom Hiddleston) after he brainwashes ace archer Hawkeye (Jeremy Renner) while stealing a cosmic cube from an underground base. Thus the heroes must learn to work together alongside outlaw scientist Bruce Banner (Ruffalo), who can track down the artifact's gamma signals when he's not hulking out into a giant green monster. Show runner Joss Whedon (Buffy the Vampire Slayer, Firefly) adapted and helmed the script by Zak Penn."
Action,Deepwater Horizon,Deepwater Horizon (2016),8,Action,Disaster Film,Adrenaline Rush,"courage, disaster, gulf, Mexico, oil-spill",30-Sep-16,USA,"Lone Survivor director Peter Berg helmed this docudrama about the Deepwater Horizon disaster, the 2010 oil-rig explosion in the Gulf of Mexico that resulted in the largest offshore oil spill in U.S. history. The film depicts the challenges that Mike Williams (Mark Wahlberg) and the rest of the rig's crew faced as they fought for survival. Kate Hudson, Kurt Russell, and John Malkovich co-star."
Action,Speed,Speed (1994),9,Action,Action Thriller,Adrenaline Rush,"bus, bomb, defuse, mastermind, driver, police, bad-guy, commuter, good-guy, partner, race-against-time, tourist, maniac",10-Jun-94,USA,"If you don't think Speed is the fastest-moving adventure film ever made, we challenge you to find a faster one. Keanu Reeves stars as an LA Bomb Squad specialist whose principal antagonist is elusive bomber-extortionist Dennis Hopper. Seeking vengeance after his latest ransom scheme is thwarted, Hopper presents a personal challenge to Reeves: A wired-for-destruction city bus, which will detonate if the speedometer drops below 50 MPH. Playing the reluctant civilian who is pressed into service as the bus' ""substitute driver,"" leading lady Sandra Bullock became a major star in her own right. Once Speed gets to the meat of its story, the excitement never lets up--not even after the boobytrapped bus is out of the picture."
Action,The Road Warrior,The Road Warrior (1981),10,Action,Sci-Fi Action,"Other Dimensions,Adrenaline Rush","post-nuclear-holocaust, oil, scavenger, survivor, against-all-odds, fuel, murder, on-the-road, rampage, revenge",,Australia,"Director George Miller's follow-up to his own 1979 hit Mad Max is proof that not all sequels are inferior to their originals. If anything, this brutal sci-fi action film is even more intense and exciting than its predecessor, although the state of its post-apocalyptic world has only become worse. Several years after the deaths of his wife and child, Max (Mel Gibson) has become an alienated nomad, wandering an Australian outback that has fallen into tribal warfare conducted from scattered armed camps. After a road battle with psychotic villain Wez (Vernon Wells), Max meets up with the odd Gyro Captain (Bruce Spence), who takes him to the camp of a sympathetic group led by Pappagallo (Mike Preston). As Pappagallo's people are camped at a refinery, Max plans to take their oil -- more precious than gold in this world -- but eventually joins them to fight a band of marauders led by the evil Humungus (Kjell Nilsson). The stunning climax features a heart-pounding chase scene involving an oil tanker-truck and a frenzied rush for the coast, with Humungus and his forces in hot pursuit. Nilsson is a scary villain, with huge muscles and a sinister pre-Jason hockey mask, but the stunt work is the key here, and it is more flamboyantly dynamic than ever, edited at breakneck pace and staged with manic fury by Miller and stunt coordinator Max Aspin. Savage and kinetic, Mad Max 2 is a must-see for action buffs."
Action,Goldfinger,Goldfinger (1964),10,Action,Glamorized Spy Film,Adrenaline Rush,"gold, espionage, gadgets, henchman, laser, nuclear-weapon, pilot, spy",,UK,"With Goldfinger, the James Bond series took a turn away from relatively straightforward spy thrillers and toward campy gadgetry, extravagant sets, and kitschy jokes. Bond (Sean Connery) has to prevent a notorious gold smuggler, appropriately named Goldfinger (Gert Fröbe), from robbing Fort Knox. Goldfinger is surrounded by evil henchmen such as the sexy female pilot Pussy Galore (Honor Blackman) and Oddjob (Harold Sakata), who kills with his steel-rimmed bowler hats. In order to stop Goldfinger, Bond has to survive several perilous situations, including a huge, deadly laser. Goldfinger is one of the most popular films in the James Bond series, and it set the tone not only for the rest of the series but also for most of the action/adventure films of the late '60s and early '70s."
